date,CUSR0000SEFA01,CUSR0000SEFA02,CUSR0000SEFA03,CUSR0000SEFB01,CUSR0000SEFB02,CUSR0000SEFB03,CUSR0000SEFB04,CUSR0000SEFC01,CUSR0000SEFC02,CUSR0000SEFC03,CUSR0000SEFD01,CUSR0000SEFD02,CUSR0000SEFD03,CUSR0000SEFD04,CUSR0000SEFF01,CUSR0000SEFF02,CUSR0000SEFG01,CUSR0000SEFG02,CUSR0000SEFJ01,CUSR0000SEFJ02,CUSR0000SEFJ03,CUSR0000SEFJ04,CUSR0000SEFK01,CUSR0000SEFK02,CUSR0000SEFK03,CUSR0000SEFK04,CUSR0000SEFL01,CUSR0000SEFL02,CUSR0000SEFL03,CUSR0000SEFL04,CUSR0000SEFM01,CUSR0000SEFM02,CUSR0000SEFM03,CUSR0000SEFN01,CUSR0000SEFN03,CUSR0000SEFP01,CUSR0000SEFP02,CUSR0000SEFR01,CUSR0000SEFR02,CUSR0000SEFR03,CUSR0000SEFS01,CUSR0000SEFS02,CUSR0000SEFS03,CUSR0000SEFT01,CUSR0000SEFT02,CUSR0000SEFT03
2001-01-01,160.3,195.1,154.0,,,191.5,197.7,130.4,,112.7,108.7,151.3,156.2,101.4,,108.6,,103.1,110.8,162.0,167.5,,206.8,166.7,136.4,93.7,190.0,,249.3,235.1,108.4,109.4,102.2,125.4,,,,138.2,,107.8,,105.8,,196.6,150.2,167.9
2001-02-01,164.2,196.9,152.6,,,190.6,198.1,133.8,,116.3,108.6,155.2,156.6,101.0,,109.8,,102.9,110.9,163.5,166.7,,208.8,161.1,139.1,93.3,190.6,,256.4,246.4,107.0,110.5,102.9,125.6,,,,139.9,,108.0,,106.1,,198.7,152.1,166.6
2001-03-01,164.0,194.9,153.4,,,190.9,198.3,134.5,,118.3,110.4,156.3,157.7,99.4,,108.6,,102.7,110.7,163.9,169.2,,207.7,163.9,139.1,96.4,192.0,,251.5,245.6,106.6,111.0,102.8,124.7,,,,139.8,,108.3,,106.5,,198.9,151.0,168.6
2001-04-01,159.3,198.7,152.8,,,191.5,198.2,135.7,,119.7,110.2,154.7,160.2,100.6,,108.7,,102.8,111.3,162.8,167.9,,209.3,162.2,144.8,102.8,191.9,,264.8,241.0,107.1,111.9,102.5,124.0,,,,138.7,,106.9,,105.8,,200.7,149.5,167.6
2001-05-01,161.6,198.6,155.0,,,190.4,197.7,135.4,,120.5,111.7,155.8,157.6,101.5,,108.4,,103.1,111.7,166.2,167.8,,213.7,166.7,141.0,99.7,190.1,,239.0,236.4,106.1,112.4,102.7,124.5,,,,141.0,,107.1,,105.9,,203.9,153.9,167.4
2001-06-01,164.1,200.1,156.0,,,190.8,199.3,136.6,,121.5,111.7,156.5,158.9,101.6,,108.8,,103.6,113.6,168.0,172.9,,215.2,166.1,144.0,99.5,199.6,,259.4,236.1,107.5,113.2,102.8,125.1,,,,140.5,,107.3,,106.7,,201.5,151.6,170.1
2001-07-01,164.7,201.9,153.9,,,190.9,199.3,135.0,,121.8,112.3,158.1,159.3,102.3,,108.1,,104.2,114.1,169.3,176.3,,213.9,168.2,144.7,98.0,202.0,,248.3,238.3,107.8,114.3,103.2,124.3,,,,141.3,,108.8,,107.2,,200.8,152.9,168.0
2001-08-01,165.6,202.3,156.4,,,192.0,200.2,135.7,,118.7,113.3,158.6,159.1,102.5,,109.1,,103.4,113.9,169.0,178.2,,214.6,170.4,139.2,95.1,208.3,,246.6,235.0,108.7,112.6,103.1,127.8,,,,139.8,,108.6,,106.9,,202.8,153.3,169.2
2001-09-01,164.0,201.1,155.4,,,193.4,200.4,136.8,,118.2,114.8,158.6,160.0,104.1,,109.8,,103.3,113.5,171.0,176.9,,209.0,169.8,142.6,97.9,213.3,,240.8,238.6,109.4,113.5,103.2,125.2,,,,141.1,,108.8,,107.3,,203.0,152.8,166.9
2001-10-01,168.5,201.7,156.2,,,193.8,199.8,137.7,,117.1,114.9,160.7,160.3,104.1,,110.1,,103.9,114.3,170.9,177.8,,218.8,170.4,142.9,96.5,217.5,,247.7,236.3,109.3,114.8,103.8,126.2,,,,141.1,,110.1,,106.6,,204.6,152.9,171.5
