date,LEU0252881500
2001-01-01,589
2001-04-01,592
2001-07-01,596
2001-10-01,606
2002-01-01,611
2002-04-01,605
2002-07-01,603
2002-10-01,613
2003-01-01,620
2003-04-01,616
2003-07-01,618
2003-10-01,625
2004-01-01,634
2004-04-01,639
2004-07-01,632
2004-10-01,647
2005-01-01,653
2005-04-01,643
2005-07-01,649
2005-10-01,659
2006-01-01,668
2006-04-01,659
2006-07-01,675
2006-10-01,682
2007-01-01,693
2007-04-01,690
2007-07-01,695
2007-10-01,700
2008-01-01,719
2008-04-01,719
2008-07-01,720
2008-10-01,728
2009-01-01,738
2009-04-01,734
2009-07-01,738
2009-10-01,748
2010-01-01,754
2010-04-01,740
2010-07-01,740
2010-10-01,752
2011-01-01,755
2011-04-01,753
2011-07-01,753
2011-10-01,764
2012-01-01,769
2012-04-01,771
2012-07-01,758
2012-10-01,775
2013-01-01,773
2013-04-01,776
2013-07-01,771
2013-10-01,786
2014-01-01,796
2014-04-01,780
2014-07-01,790
2014-10-01,799
2015-01-01,808
2015-04-01,801
